Brand,Model,Location,Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Price,Cat,Has_New_Price,New_Price_num,Power_Engine_Ratio
Hyundai,Creta 1.6 CRDi SX Option,Pune,4,41000.0,Diesel,Manual,First,19,1582,126.2,2.6026896854443837,Standard,0,0.0,0.0797724399494311
Honda,Jazz V,Chennai,8,46000.0,Petrol,Manual,First,18,1199,88.7,1.7047480922384253,Standard,1,8.61,0.07397831526271893
Maruti,Ertiga VDI,Chennai,7,87000.0,Diesel,Manual,First,20,1248,88.76,1.9459101490553132,Large,0,0.0,0.07112179487179487
Audi,A4 New 2.0 TDI Multitronic,Coimbatore,6,40670.0,Diesel,Automatic,Second,15,1968,140.8,2.930660276810276,Standard,0,0.0,0.07154471544715447
Nissan,Micra Diesel XV,Jaipur,6,86999.0,Diesel,Manual,First,23,1461,63.1,1.5040773967762742,Standard,0,0.0,0.0431895961670089
Toyota,Innova Crysta 2.8 GX AT 8S,Mumbai,3,36000.0,Diesel,Automatic,First,11,2755,171.5,2.917770732084279,Large,1,21.0,0.062250453720508164
Volkswagen,Vento Diesel Comfortline,Pune,6,64430.0,Diesel,Manual,First,20,1598,103.6,1.824549292051046,Standard,0,0.0,0.06483103879849812
Tata,Indica Vista Quadrajet LS,Chennai,7,65932.0,Diesel,Manual,Second,22,1248,74.0,1.0818051703517284,Standard,0,0.0,0.05929487179487179
Maruti,Ciaz Zeta,Kochi,1,25692.0,Petrol,Manual,First,21,1462,103.25,2.3933394562625097,Standard,1,10.65,0.07062243502051983
Honda,City 1.5 V AT Sunroof,Kolkata,7,60000.0,Petrol,Automatic,First,16,1497,116.3,1.7029282555214393,Standard,0,0.0,0.07768871075484302
Maruti,Swift VDI BSIV,Jaipur,4,64424.0,Diesel,Manual,First,25,1248,74.0,1.8870696490323797,Standard,0,0.0,0.05929487179487179
Other_Luxury,Rover Range Rover 2.2L Pure,Delhi,5,72000.0,Diesel,Automatic,First,12,2179,187.7,3.332204510175204,Standard,0,0.0,0.08614043139054611
Other,Pajero Sport 4X4,Delhi,5,110000.0,Diesel,Manual,First,13,2477,175.56,2.772588722239781,Large,1,32.01,0.07087605974969721
Honda,Amaze S i-Dtech,Kochi,3,58950.0,Diesel,Manual,First,25,1498,98.6,1.8562979903656263,Standard,0,0.0,0.06582109479305741
Maruti,Swift DDiS VDI,Jaipur,2,25000.0,Diesel,Manual,First,28,1248,74.0,1.944480556245719,Standard,0,0.0,0.05929487179487179
Renault,Duster 85PS Diesel RxL Plus,Kochi,5,77469.0,Diesel,Manual,First,20,1461,83.8,1.9933388426264242,Standard,0,0.0,0.05735797399041752
Mercedes-benz,New C-Class C 220 CDI BE Avantgare,Bangalore,5,78500.0,Diesel,Automatic,First,14,2143,167.62,3.367295829986474,Standard,0,0.0,0.07821745216985534
Bmw,3 Series 320d,Kochi,5,32982.0,Diesel,Automatic,First,22,1995,190.0,2.972975286431375,Standard,1,47.87,0.09523809523809523
Maruti,S Cross DDiS 200 Alpha,Bangalore,4,55392.0,Diesel,Manual,Second,23,1248,88.5,2.224623551524334,Standard,0,0.0,0.07091346153846154
Audi,A6 2011-2015 35 TFSI Technology,Mumbai,4,55985.0,Petrol,Automatic,First,13,1984,177.01,3.1986731175506815,Standard,0,0.0,0.08921875
Hyundai,i20 1.2 Magna,Kolkata,9,45807.0,Petrol,Manual,First,18,1197,80.0,1.0543120297715298,Standard,0,0.0,0.06683375104427736
Volkswagen,Vento Petrol Highline AT,Kolkata,9,33000.0,Petrol,Automatic,First,14,1598,103.6,1.3480731482996928,Standard,0,0.0,0.06483103879849812
Honda,City Corporate Edition,Mumbai,7,51920.0,Petrol,Manual,First,16,1497,116.3,1.6582280766035324,Standard,0,0.0,0.07768871075484302
