,Brand,Location,Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
0,Hyundai,Pune,4,41000.0,Diesel,Manual,First,19,1582,126.2,5,,12.5
1,Honda,Chennai,8,46000.0,Petrol,Manual,First,18,1199,88.7,5,8.61 Lakh,4.5
2,Maruti,Chennai,7,87000.0,Diesel,Manual,First,20,1248,88.76,7,,6.0
3,Audi,Coimbatore,6,40670.0,Diesel,Automatic,Second,15,1968,140.8,5,,17.74
4,Nissan,Jaipur,6,86999.0,Diesel,Manual,First,23,1461,63.1,5,,3.5
5,Toyota,Mumbai,3,36000.0,Diesel,Automatic,First,11,2755,171.5,8,21 Lakh,17.5
6,Volkswagen,Pune,6,64430.0,Diesel,Manual,First,20,1598,103.6,5,,5.2
7,Tata,Chennai,7,65932.0,Diesel,Manual,Second,22,1248,74.0,5,,1.95
8,Maruti,Kochi,1,25692.0,Petrol,Manual,First,21,1462,103.25,5,10.65 Lakh,9.95
9,Honda,Kolkata,7,60000.0,Petrol,Automatic,First,16,1497,116.3,5,,4.49
10,Maruti,Jaipur,4,64424.0,Diesel,Manual,First,25,1248,74.0,5,,5.6
11,Other_Luxury,Delhi,5,72000.0,Diesel,Automatic,First,12,2179,187.7,5,,27.0
12,Other,Delhi,5,110000.0,Diesel,Manual,First,13,2477,175.56,7,32.01 Lakh,15.0
13,Honda,Kochi,3,58950.0,Diesel,Manual,First,25,1498,98.6,5,,5.4
14,Maruti,Jaipur,2,25000.0,Diesel,Manual,First,28,1248,74.0,5,,5.99
15,Renault,Kochi,5,77469.0,Diesel,Manual,First,20,1461,83.8,5,,6.34
16,Mercedes-Benz,Bangalore,5,78500.0,Diesel,Automatic,First,14,2143,167.62,5,,28.0
17,BMW,Kochi,5,32982.0,Diesel,Automatic,First,22,1995,190.0,5,47.87 Lakh,18.55
18,Maruti,Bangalore,4,55392.0,Diesel,Manual,Second,23,1248,88.5,5,,8.25
19,Audi,Mumbai,4,55985.0,Petrol,Automatic,First,13,1984,177.01,5,,23.5
20,Hyundai,Kolkata,9,45807.0,Petrol,Manual,First,18,1197,80.0,5,,1.87
21,Volkswagen,Kolkata,9,33000.0,Petrol,Automatic,First,14,1598,103.6,5,,2.85
22,Honda,Mumbai,7,51920.0,Petrol,Manual,First,16,1497,116.3,5,,4.25
23,Nissan,Hyderabad,7,54000.0,Diesel,Manual,First,23,1461,63.1,5,,4.25
24,Maruti,Hyderabad,6,54000.0,Petrol,Manual,Second,20,998,67.1,5,,2.75
25,Honda,Kochi,1,37430.0,Petrol,Manual,First,17,1199,88.7,5,10.57 Lakh,9.9
26,Toyota,Mumbai,12,170000.0,Diesel,Manual,Third,12,2494,102.0,7,,4.0
27,Renault,Bangalore,6,62000.0,Diesel,Manual,First,19,1461,108.45,5,,7.75
28,Toyota,Delhi,7,87615.0,Petrol,Manual,First,14,1798,138.1,5,,6.75
29,Mahindra,Bangalore,6,72000.0,Diesel,Automatic,Second,11,2696,184.0,7,,12.5
30,Audi,Kolkata,9,35000.0,Diesel,Automatic,First,12,2698,179.5,5,,11.5
31,Volkswagen,Coimbatore,5,55431.0,Petrol,Manual,Second,16,1598,103.5,5,12.33 Lakh,6.98
32,Maruti,Jaipur,10,83816.0,Petrol,Manual,Second,14,1061,64.0,5,,1.85
33,Maruti,Kochi,1,50075.0,Diesel,Manual,First,24,1248,88.5,5,11.12 Lakh,8.63
34,Mahindra,Delhi,2,52000.0,Petrol,Manual,First,18,1198,82.0,5,,4.85
35,Mercedes-Benz,Pune,6,85000.0,Diesel,Automatic,First,11,2987,254.8,5,,28.0
36,Volkswagen,Chennai,6,62000.0,Diesel,Manual,First,22,1199,73.9,5,,5.0
37,Maruti,Delhi,11,90000.0,Petrol,Manual,Second,19,796,46.3,5,,1.25
38,Tata,Kochi,5,19698.0,Petrol,Manual,First,25,624,37.5,4,,1.53
39,Mahindra,Coimbatore,2,22033.0,Diesel,Manual,First,25,1198,77.0,6,,5.58
40,Hyundai,Kochi,5,35487.0,Petrol,Manual,First,18,1197,82.9,5,,4.74
41,Hyundai,Bangalore,5,46374.0,Petrol,Automatic,First,14,1999,149.92,5,23.64 Lakh,8.85
42,Toyota,Mumbai,3,52001.0,Petrol,Automatic,First,14,1798,138.03,5,,10.11
43,Hyundai,Ahmedabad,11,58005.0,Diesel,Manual,Second,14,1991,112.2,5,,4.25
44,Toyota,Bangalore,7,70704.0,Petrol,Manual,First,11,2694,163.7,7,18.64 Lakh,10.95
45,Hyundai,Jaipur,5,75000.0,Diesel,Manual,First,24,1120,71.0,5,,3.85
46,Mahindra,Jaipur,7,75800.0,Diesel,Manual,Second,16,2498,105.0,6,,5.5
47,Audi,Kochi,4,13648.0,Diesel,Automatic,First,17,1968,174.33,5,,21.43
48,Maruti,Delhi,5,52000.0,Diesel,Manual,First,22,1248,74.0,5,,4.25
49,Maruti,Kolkata,5,53000.0,Diesel,Manual,First,17,1248,75.0,5,,3.3
50,Maruti,Delhi,6,65650.0,Diesel,Manual,First,28,1248,74.0,5,,3.85
51,Hyundai,Chennai,4,54000.0,Petrol,Manual,Third,18,1197,82.0,5,,3.6
52,Volkswagen,Kolkata,4,39000.0,Petrol,Manual,First,15,1598,103.2,5,,3.99
53,Renault,Kochi,2,16542.0,Petrol,Manual,First,25,799,53.3,5,,3.3
54,Hyundai,Kolkata,9,32000.0,Petrol,Manual,First,20,1197,78.9,5,,2.07
55,Nissan,Hyderabad,9,121812.0,Diesel,Automatic,First,13,1995,147.6,5,,7.75
56,Maruti,Hyderabad,9,39300.0,Petrol,Manual,First,18,998,67.1,5,,2.25
57,Toyota,Mumbai,2,22000.0,Diesel,Manual,First,13,2393,147.8,8,19.34 Lakh,16.5
58,Ford,Bangalore,9,72000.0,Diesel,Manual,First,20,1399,68.0,5,,2.75
59,Mercedes-Benz,Delhi,4,58000.0,Petrol,Automatic,First,11,1796,186.0,5,,26.7
60,Mercedes-Benz,Pune,8,65000.0,Diesel,Manual,Second,15,2148,170.0,5,,10.0
61,Tata,Chennai,3,170000.0,Diesel,Manual,First,25,1396,69.0,5,,2.5
62,Audi,Jaipur,7,65664.0,Diesel,Automatic,First,16,1968,140.0,5,,13.5
63,Honda,Mumbai,12,63000.0,Petrol,Automatic,Second,16,1497,78.0,5,,1.85
64,Maruti,Pune,3,63000.0,Diesel,Manual,First,24,1248,88.5,7,,8.15
65,Hyundai,Mumbai,1,13000.0,Diesel,Manual,First,22,1396,88.7,5,11.81 Lakh,10.5
66,Other_Luxury,Mumbai,11,73000.0,Petrol,Automatic,First,8,4806,500.0,5,,14.5
67,Mahindra,Mumbai,4,55729.0,Diesel,Manual,First,15,2179,140.0,7,,9.65
68,Hyundai,Kochi,7,45178.0,Petrol,Automatic,First,16,1197,78.9,5,,3.48
69,Nissan,Kochi,4,56066.0,Diesel,Manual,First,19,1461,108.5,5,16.65 Lakh,6.92
70,Honda,Coimbatore,3,37300.0,Petrol,Automatic,Second,16,1198,86.8,5,,6.46
71,Audi,Delhi,5,56000.0,Diesel,Automatic,Second,18,1968,187.74,5,,29.5
72,Toyota,Chennai,13,170000.0,Petrol,Manual,Third,12,1998,132.0,8,,4.5
73,Toyota,Hyderabad,7,104000.0,Diesel,Manual,First,12,2494,102.0,7,,11.75
74,Maruti,Jaipur,7,95100.0,Diesel,Manual,First,22,1248,74.0,5,,3.75
75,Tata,Pune,2,70000.0,Petrol,Manual,First,17,1193,88.7,5,6.67 Lakh,4.5
76,Honda,Kochi,3,54944.0,Petrol,Manual,First,18,1198,86.7,5,,4.82
77,Ford,Hyderabad,7,70337.0,Diesel,Manual,First,20,1399,68.0,5,,2.8
78,Maruti,Jaipur,6,99638.0,Diesel,Manual,First,23,1248,73.94,5,,3.11
79,Honda,Delhi,10,52000.0,Petrol,Manual,First,17,1497,117.3,5,,3.25
80,BMW,Delhi,8,75000.0,Diesel,Automatic,Second,16,1995,218.0,5,,13.9
81,Hyundai,Pune,10,95980.0,Petrol,Manual,First,20,1197,78.9,5,,2.25
82,Hyundai,Bangalore,3,16000.0,Petrol,Manual,First,18,1197,82.0,5,,5.75
83,Honda,Mumbai,3,18949.0,Petrol,Manual,First,17,1198,86.7,5,,5.0
84,Toyota,Delhi,5,107000.0,Diesel,Manual,First,13,2982,168.5,7,,16.5
85,Audi,Coimbatore,1,48367.0,Diesel,Automatic,First,17,1968,174.33,5,,39.58
86,Ford,Delhi,6,57000.0,Diesel,Manual,First,22,1498,89.84,5,,5.5
87,Mahindra,Delhi,5,58000.0,Diesel,Manual,First,15,2179,140.0,7,,8.1
88,Honda,Kolkata,4,30000.0,Diesel,Manual,First,25,1498,98.6,5,,3.5
89,Volkswagen,Kolkata,6,34212.0,Diesel,Manual,First,22,1199,73.9,5,,2.79
90,Hyundai,Ahmedabad,9,70002.0,Diesel,Manual,First,16,1493,110.0,5,,3.45
91,Maruti,Bangalore,3,62000.0,Petrol,Manual,First,18,998,67.1,5,,4.45
92,Volkswagen,Delhi,9,62001.0,Petrol,Manual,First,15,1598,103.5,5,,2.65
