Brand,Location,Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand_Category
Hyundai,Pune,4,41000.0,Diesel,Manual,First,19,1582,126.2,5,2.6026896854443837,Mass-Market
Honda,Chennai,8,46000.0,Petrol,Manual,First,18,1199,88.7,5,1.7047480922384253,Executive
Maruti,Chennai,7,87000.0,Diesel,Manual,First,20,1248,88.76,7,1.9459101490553132,Entry-Level
Audi,Coimbatore,6,40670.0,Diesel,Automatic,Second,15,1968,140.8,5,2.930660276810276,Luxury
Nissan,Jaipur,6,86999.0,Diesel,Manual,First,23,1461,63.1,5,1.5040773967762742,Mass-Market
Toyota,Mumbai,3,36000.0,Diesel,Automatic,First,11,2755,171.5,8,2.917770732084279,Executive
Volkswagen,Pune,6,64430.0,Diesel,Manual,First,20,1598,103.6,5,1.824549292051046,Executive
Tata,Chennai,7,65932.0,Diesel,Manual,Second,22,1248,74.0,5,1.0818051703517284,Mass-Market
Maruti,Kochi,1,25692.0,Petrol,Manual,First,21,1462,103.25,5,2.3933394562625097,Entry-Level
Honda,Kolkata,7,60000.0,Petrol,Automatic,First,16,1497,116.3,5,1.7029282555214393,Executive
Maruti,Jaipur,4,64424.0,Diesel,Manual,First,25,1248,74.0,5,1.8870696490323797,Entry-Level
Land,Delhi,5,72000.0,Diesel,Automatic,First,12,2179,187.7,5,3.332204510175204,Luxury
Mitsubishi,Delhi,5,110000.0,Diesel,Manual,First,13,2477,175.56,7,2.772588722239781,Executive
Honda,Kochi,3,58950.0,Diesel,Manual,First,25,1498,98.6,5,1.8562979903656263,Executive
Maruti,Jaipur,2,25000.0,Diesel,Manual,First,28,1248,74.0,5,1.944480556245719,Entry-Level
Renault,Kochi,5,77469.0,Diesel,Manual,First,20,1461,83.8,5,1.9933388426264242,Mass-Market
Mercedes-benz,Bangalore,5,78500.0,Diesel,Automatic,First,14,2143,167.62,5,3.367295829986474,Luxury
Bmw,Kochi,5,32982.0,Diesel,Automatic,First,22,1995,190.0,5,2.972975286431375,Luxury
Maruti,Bangalore,4,55392.0,Diesel,Manual,Second,23,1248,88.5,5,2.224623551524334,Entry-Level
Audi,Mumbai,4,55985.0,Petrol,Automatic,First,13,1984,177.01,5,3.1986731175506815,Luxury
Hyundai,Kolkata,9,45807.0,Petrol,Manual,First,18,1197,80.0,5,1.0543120297715298,Mass-Market
Volkswagen,Kolkata,9,33000.0,Petrol,Automatic,First,14,1598,103.6,5,1.3480731482996928,Executive
Honda,Mumbai,7,51920.0,Petrol,Manual,First,16,1497,116.3,5,1.6582280766035324,Executive
Nissan,Hyderabad,7,54000.0,Diesel,Manual,First,23,1461,63.1,5,1.6582280766035324,Mass-Market
Maruti,Hyderabad,6,54000.0,Petrol,Manual,Second,20,998,67.1,5,1.3217558399823195,Entry-Level
Honda,Kochi,1,37430.0,Petrol,Manual,First,17,1199,88.7,5,2.388762789235098,Executive
Toyota,Mumbai,12,170000.0,Diesel,Manual,Third,12,2494,102.0,7,1.6094379124341003,Executive
Renault,Bangalore,6,62000.0,Diesel,Manual,First,19,1461,108.45,5,2.169053700369523,Mass-Market
Toyota,Delhi,7,87615.0,Petrol,Manual,First,14,1798,138.1,5,2.0476928433652555,Executive
Mahindra,Bangalore,6,72000.0,Diesel,Automatic,Second,11,2696,184.0,7,2.6026896854443837,Mass-Market
Audi,Kolkata,9,35000.0,Diesel,Automatic,First,12,2698,179.5,5,2.5257286443082556,Luxury
Volkswagen,Coimbatore,5,55431.0,Petrol,Manual,Second,16,1598,103.5,5,2.0769384114617173,Executive
Maruti,Jaipur,10,83816.0,Petrol,Manual,Second,14,1061,64.0,5,1.0473189942805592,Entry-Level
Maruti,Kochi,1,50075.0,Diesel,Manual,First,24,1248,88.5,5,2.2648832258100344,Entry-Level
Mahindra,Delhi,2,52000.0,Petrol,Manual,First,18,1198,82.0,5,1.766441661243765,Mass-Market
Mercedes-benz,Pune,6,85000.0,Diesel,Automatic,First,11,2987,254.8,5,3.367295829986474,Luxury
Volkswagen,Chennai,6,62000.0,Diesel,Manual,First,22,1199,73.9,5,1.791759469228055,Executive
Maruti,Delhi,11,90000.0,Petrol,Manual,Second,19,796,46.3,5,0.8109302162163288,Entry-Level
Tata,Kochi,5,19698.0,Petrol,Manual,First,25,624,37.5,4,0.9282193027394289,Mass-Market
Mahindra,Coimbatore,2,22033.0,Diesel,Manual,First,25,1198,77.0,6,1.884034745337226,Mass-Market
Hyundai,Kochi,5,35487.0,Petrol,Manual,First,18,1197,82.9,5,1.747459210331475,Mass-Market
Hyundai,Bangalore,5,46374.0,Petrol,Automatic,First,14,1999,149.92,5,2.2874714551839976,Mass-Market
Toyota,Mumbai,3,52001.0,Petrol,Automatic,First,14,1798,138.03,5,2.4078456036515385,Executive
Hyundai,Ahmedabad,11,58005.0,Diesel,Manual,Second,14,1991,112.2,5,1.6582280766035324,Mass-Market
Toyota,Bangalore,7,70704.0,Petrol,Manual,First,11,2694,163.7,7,2.4807312783775197,Executive
Hyundai,Jaipur,5,75000.0,Diesel,Manual,First,24,1120,71.0,5,1.5789787049493917,Mass-Market
Mahindra,Jaipur,7,75800.0,Diesel,Manual,Second,16,2498,105.0,6,1.8718021769015913,Mass-Market
Audi,Kochi,4,13648.0,Diesel,Automatic,First,17,1968,174.33,5,3.110399348532117,Luxury
Maruti,Delhi,5,52000.0,Diesel,Manual,First,22,1248,74.0,5,1.6582280766035324,Entry-Level
Maruti,Kolkata,5,53000.0,Diesel,Manual,First,17,1248,75.0,5,1.4586150226995167,Entry-Level
Maruti,Delhi,6,65650.0,Diesel,Manual,First,28,1248,74.0,5,1.5789787049493917,Entry-Level
Hyundai,Chennai,4,54000.0,Petrol,Manual,Third,18,1197,82.0,5,1.5260563034950494,Mass-Market
Volkswagen,Kolkata,4,39000.0,Petrol,Manual,First,15,1598,103.2,5,1.6074359097634274,Executive
Renault,Kochi,2,16542.0,Petrol,Manual,First,25,799,53.3,5,1.4586150226995167,Mass-Market
Hyundai,Kolkata,9,32000.0,Petrol,Manual,First,20,1197,78.9,5,1.1216775615991057,Mass-Market
Nissan,Hyderabad,9,121812.0,Diesel,Automatic,First,13,1995,147.6,5,2.169053700369523,Mass-Market
Maruti,Hyderabad,9,39300.0,Petrol,Manual,First,18,998,67.1,5,1.1786549963416462,Entry-Level
Toyota,Mumbai,2,22000.0,Diesel,Manual,First,13,2393,147.8,8,2.8622008809294686,Executive
Ford,Bangalore,9,72000.0,Diesel,Manual,First,20,1399,68.0,5,1.3217558399823195,Mass-Market
Mercedes-benz,Delhi,4,58000.0,Petrol,Automatic,First,11,1796,186.0,5,3.3214324131932926,Luxury
Mercedes-benz,Pune,8,65000.0,Diesel,Manual,Second,15,2148,170.0,5,2.3978952727983707,Luxury
Tata,Chennai,3,170000.0,Diesel,Manual,First,25,1396,69.0,5,1.252762968495368,Mass-Market
Audi,Jaipur,7,65664.0,Diesel,Automatic,First,16,1968,140.0,5,2.6741486494265287,Luxury
Honda,Mumbai,12,63000.0,Petrol,Automatic,Second,16,1497,78.0,5,1.0473189942805592,Executive
Maruti,Pune,3,63000.0,Diesel,Manual,First,24,1248,88.5,7,2.21375387928743,Entry-Level
Hyundai,Mumbai,1,13000.0,Diesel,Manual,First,22,1396,88.7,5,2.4423470353692043,Mass-Market
Porsche,Mumbai,11,73000.0,Petrol,Automatic,First,8,4806,500.0,5,2.740840023925201,Luxury
Mahindra,Mumbai,4,55729.0,Diesel,Manual,First,15,2179,140.0,7,2.365559892155434,Mass-Market
Hyundai,Kochi,7,45178.0,Petrol,Automatic,First,16,1197,78.9,5,1.4996230464268938,Mass-Market
Nissan,Kochi,4,56066.0,Diesel,Manual,First,19,1461,108.5,5,2.0693912058263346,Mass-Market
Honda,Coimbatore,3,37300.0,Petrol,Automatic,Second,16,1198,86.8,5,2.0095554142156695,Executive
Audi,Delhi,5,56000.0,Diesel,Automatic,Second,18,1968,187.74,5,3.417726683613366,Luxury
Toyota,Chennai,13,170000.0,Petrol,Manual,Third,12,1998,132.0,8,1.7047480922384253,Executive
Toyota,Hyderabad,7,104000.0,Diesel,Manual,First,12,2494,102.0,7,2.545531271604435,Executive
Maruti,Jaipur,7,95100.0,Diesel,Manual,First,22,1248,74.0,5,1.55814461804655,Entry-Level
Tata,Pune,2,70000.0,Petrol,Manual,First,17,1193,88.7,5,1.7047480922384253,Mass-Market
Honda,Kochi,3,54944.0,Petrol,Manual,First,18,1198,86.7,5,1.7613002617433464,Executive
Ford,Hyderabad,7,70337.0,Diesel,Manual,First,20,1399,68.0,5,1.33500106673234,Mass-Market
Maruti,Jaipur,6,99638.0,Diesel,Manual,First,23,1248,73.94,5,1.4134230285081433,Entry-Level
Honda,Delhi,10,52000.0,Petrol,Manual,First,17,1497,117.3,5,1.4469189829363254,Executive
Bmw,Delhi,8,75000.0,Diesel,Automatic,Second,16,1995,218.0,5,2.7013612129514133,Luxury
Hyundai,Pune,10,95980.0,Petrol,Manual,First,20,1197,78.9,5,1.1786549963416462,Mass-Market
Hyundai,Bangalore,3,16000.0,Petrol,Manual,First,18,1197,82.0,5,1.9095425048844386,Mass-Market
Honda,Mumbai,3,18949.0,Petrol,Manual,First,17,1198,86.7,5,1.791759469228055,Executive
Toyota,Delhi,5,107000.0,Diesel,Manual,First,13,2982,168.5,7,2.8622008809294686,Executive
Audi,Coimbatore,1,48367.0,Diesel,Automatic,First,17,1968,174.33,5,3.7032753343976688,Luxury
Ford,Delhi,6,57000.0,Diesel,Manual,First,22,1498,89.84,5,1.8718021769015913,Mass-Market
Mahindra,Delhi,5,58000.0,Diesel,Manual,First,15,2179,140.0,7,2.2082744135228043,Mass-Market
Honda,Kolkata,4,30000.0,Diesel,Manual,First,25,1498,98.6,5,1.5040773967762742,Executive
Volkswagen,Kolkata,6,34212.0,Diesel,Manual,First,22,1199,73.9,5,1.332366019094335,Executive
Hyundai,Ahmedabad,9,70002.0,Diesel,Manual,First,16,1493,110.0,5,1.4929040961781488,Mass-Market
Maruti,Bangalore,3,62000.0,Petrol,Manual,First,18,998,67.1,5,1.6956156086751528,Entry-Level
Volkswagen,Delhi,9,62001.0,Petrol,Manual,First,15,1598,103.5,5,1.2947271675944,Executive
Hyundai,Pune,8,78958.0,Diesel,Manual,Second,23,1396,90.0,5,1.5686159179138452,Mass-Market
Hyundai,Mumbai,5,30180.0,Petrol,Manual,First,18,1197,82.85,5,1.7316555451583497,Mass-Market
Datsun,Pune,2,32851.0,Petrol,Manual,First,19,1198,67.0,7,1.599387576580599,Entry-Level
Audi,Kolkata,9,30000.0,Diesel,Automatic,First,14,2967,241.4,5,2.379546134130174,Luxury
Hyundai,Pune,10,66000.0,Petrol,Manual,Second,17,1197,80.0,5,1.308332819650179,Mass-Market
Maruti,Coimbatore,9,93850.0,Petrol,Manual,First,14,796,35.0,5,1.2267122912954254,Entry-Level
Toyota,Ahmedabad,5,53000.0,Petrol,Manual,First,17,1197,78.9,5,1.589235205116581,Executive
Jaguar,Hyderabad,8,78000.0,Diesel,Automatic,Second,14,2993,270.9,5,3.2188758248682006,Luxury
Mahindra,Delhi,7,65000.0,Diesel,Manual,Second,16,2179,140.0,7,1.9095425048844386,Mass-Market
Hyundai,Kolkata,5,40000.0,Diesel,Automatic,First,22,1582,126.32,5,1.8325814637483102,Mass-Market
Toyota,Mumbai,2,30000.0,Diesel,Automatic,First,11,2755,171.5,7,3.0081547935525483,Executive
Maruti,Coimbatore,2,38053.0,Petrol,Manual,First,15,1196,73.0,5,1.5912739418064292,Entry-Level
Tata,Bangalore,5,25500.0,Petrol,Manual,First,25,624,37.5,4,1.1474024528375417,Mass-Market
Bmw,Mumbai,4,56087.0,Diesel,Automatic,First,22,1995,190.0,5,3.079613757534693,Luxury
Honda,Delhi,9,71088.0,Petrol,Manual,First,13,1799,130.0,5,1.4701758451005928,Executive
Toyota,Ahmedabad,5,55000.0,Diesel,Manual,First,12,2494,100.6,7,2.494031557565001,Executive
Volvo,Bangalore,5,32700.0,Diesel,Automatic,First,23,1984,150.0,5,3.044522437723423,Premium
Nissan,Coimbatore,3,39882.0,Petrol,Automatic,First,19,1198,75.94,5,2.0215475632609334,Mass-Market
Bmw,Mumbai,10,128000.0,Petrol,Automatic,First,10,2497,215.0,5,2.0794415416798357,Luxury
Maruti,Mumbai,3,55000.0,Diesel,Manual,First,24,1248,88.5,5,2.1400661634962708,Entry-Level
Mercedes-benz,Pune,5,53753.0,Diesel,Automatic,Second,15,2143,107.3,5,2.8763855159214247,Luxury
Hyundai,Kolkata,1,10250.0,Diesel,Manual,First,22,1582,126.2,5,2.4807312783775197,Mass-Market
Maruti,Pune,8,43874.0,Petrol,Manual,First,18,998,67.1,5,1.2383742310432684,Entry-Level
Tata,Coimbatore,2,32684.0,Petrol,Automatic,First,21,624,37.48,4,1.4422019930581866,Mass-Market
Mahindra,Kolkata,5,42000.0,Diesel,Manual,First,12,2179,120.0,8,2.169053700369523,Mass-Market
Mercedes-benz,Kolkata,10,28352.0,Petrol,Automatic,First,11,1796,178.0,5,2.336986519711378,Luxury
Honda,Bangalore,12,47700.0,Petrol,Manual,Second,10,2354,152.0,5,1.8325814637483102,Executive
