Brand,Model,Location,Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Hyundai,Creta,Pune,4,41000.0,Diesel,Manual,First,19.67,1582,126.2,5,2.6026896854443837
Honda,Jazz,Chennai,8,46000.0,Petrol,Manual,First,18.2,1199,88.7,5,1.7047480922384253
Maruti,Ertiga,Chennai,7,87000.0,Diesel,Manual,First,20.77,1248,88.76,7,1.9459101490553132
Audi,A4,Coimbatore,6,40670.0,Diesel,Automatic,Second,15.2,1968,140.8,5,2.930660276810276
Nissan,Micra,Jaipur,6,86999.0,Diesel,Manual,First,23.08,1461,63.1,5,1.5040773967762742
Toyota,Innova,Mumbai,3,36000.0,Diesel,Automatic,First,11.36,2755,171.5,8,2.917770732084279
Volkswagen,Vento,Pune,6,64430.0,Diesel,Manual,First,20.54,1598,103.6,5,1.8245492920510458
Tata,Indica,Chennai,7,65932.0,Diesel,Manual,Second,22.3,1248,74.0,5,1.0818051703517284
Maruti,Ciaz,Kochi,1,25692.0,Petrol,Manual,First,21.56,1462,103.25,5,2.3933394562625097
Honda,City,Kolkata,7,60000.0,Petrol,Automatic,First,16.8,1497,116.3,5,1.7029282555214393
Maruti,Swift,Jaipur,4,64424.0,Diesel,Manual,First,25.2,1248,74.0,5,1.8870696490323797
Other_Luxury,Rover,Delhi,5,72000.0,Diesel,Automatic,First,12.7,2179,187.7,5,3.332204510175204
Other_Luxury,Rover,Pune,7,85000.0,Diesel,Automatic,Second,18.2,2179,115.0,5,2.917770732084279
Other,Pajero,Delhi,5,110000.0,Diesel,Manual,First,13.5,2477,175.56,7,2.772588722239781
Honda,Amaze,Kochi,3,58950.0,Diesel,Manual,First,25.8,1498,98.6,5,1.8562979903656263
Maruti,Swift,Jaipur,2,25000.0,Diesel,Manual,First,28.4,1248,74.0,5,1.9444805562457188
Renault,Duster,Kochi,5,77469.0,Diesel,Manual,First,20.45,1461,83.8,5,1.9933388426264242
Mercedes-Benz,New,Bangalore,5,78500.0,Diesel,Automatic,First,14.84,2143,167.62,5,3.367295829986474
BMW,3,Kochi,5,32982.0,Diesel,Automatic,First,22.69,1995,190.0,5,2.972975286431375
Maruti,S,Bangalore,4,55392.0,Diesel,Manual,Second,23.65,1248,88.5,5,2.224623551524334
Audi,A6,Mumbai,4,55985.0,Petrol,Automatic,First,13.53,1984,177.01,5,3.1986731175506815
Hyundai,i20,Kolkata,9,45807.0,Petrol,Manual,First,18.5,1197,80.0,5,1.0543120297715298
Volkswagen,Vento,Kolkata,9,33000.0,Petrol,Automatic,First,14.4,1598,103.6,5,1.3480731482996928
Honda,City,Mumbai,7,51920.0,Petrol,Manual,First,16.8,1497,116.3,5,1.6582280766035324
Nissan,Micra,Hyderabad,7,54000.0,Diesel,Manual,First,23.08,1461,63.1,5,1.6582280766035324
Maruti,Alto,Hyderabad,6,54000.0,Petrol,Manual,Second,20.92,998,67.1,5,1.3217558399823195
Honda,Other,Kochi,1,37430.0,Petrol,Manual,First,17.5,1199,88.7,5,2.388762789235098
Toyota,Innova,Mumbai,12,170000.0,Diesel,Manual,Third,12.8,2494,102.0,7,1.6094379124341003
Renault,Duster,Bangalore,6,62000.0,Diesel,Manual,First,19.01,1461,108.45,5,2.169053700369523
Toyota,Corolla,Delhi,7,87615.0,Petrol,Manual,First,14.53,1798,138.1,5,2.0476928433652555
Mahindra,Ssangyong,Bangalore,6,72000.0,Diesel,Automatic,Second,11.18,2696,184.0,7,2.6026896854443837
Audi,A6,Kolkata,9,35000.0,Diesel,Automatic,First,12.4,2698,179.5,5,2.5257286443082556
Volkswagen,Vento,Coimbatore,5,55431.0,Petrol,Manual,Second,16.09,1598,103.5,5,2.0769384114617173
Maruti,Wagon,Jaipur,10,83816.0,Petrol,Manual,Second,14.0,1061,64.0,5,1.0473189942805592
Maruti,Vitara,Kochi,1,50075.0,Diesel,Manual,First,24.3,1248,88.5,5,2.2648832258100344
Mahindra,KUV,Delhi,2,52000.0,Petrol,Manual,First,18.15,1198,82.0,5,1.766441661243765
Mercedes-Benz,M-Class,Pune,6,85000.0,Diesel,Automatic,First,11.74,2987,254.8,5,3.367295829986474
Volkswagen,Polo,Chennai,6,62000.0,Diesel,Manual,First,22.07,1199,73.9,5,1.791759469228055
Maruti,Alto,Delhi,11,90000.0,Petrol,Manual,Second,19.7,796,46.3,5,0.8109302162163288
Tata,Nano,Kochi,5,19698.0,Petrol,Manual,First,25.4,624,37.5,4,0.9282193027394289
Mahindra,KUV,Coimbatore,2,22033.0,Diesel,Manual,First,25.32,1198,77.0,6,1.884034745337226
Hyundai,i20,Kochi,5,35487.0,Petrol,Manual,First,18.5,1197,82.9,5,1.747459210331475
Hyundai,Elantra,Bangalore,5,46374.0,Petrol,Automatic,First,14.62,1999,149.92,5,2.2874714551839976
Toyota,Corolla,Mumbai,3,52001.0,Petrol,Automatic,First,14.28,1798,138.03,5,2.4078456036515385
Hyundai,Elantra,Ahmedabad,11,58005.0,Diesel,Manual,Second,14.9,1991,112.2,5,1.6582280766035324
Toyota,Innova,Bangalore,7,70704.0,Petrol,Manual,First,11.25,2694,163.7,7,2.4807312783775197
Hyundai,Xcent,Jaipur,5,75000.0,Diesel,Manual,First,24.4,1120,71.0,5,1.578978704949392
Mahindra,Other,Jaipur,7,75800.0,Diesel,Manual,Second,16.55,2498,105.0,6,1.8718021769015913
Audi,A4,Kochi,4,13648.0,Diesel,Automatic,First,17.11,1968,174.33,5,3.110399348532117
Maruti,Swift,Delhi,5,52000.0,Diesel,Manual,First,22.9,1248,74.0,5,1.6582280766035324
Maruti,Swift,Kolkata,5,53000.0,Diesel,Manual,First,17.8,1248,75.0,5,1.4586150226995167
Maruti,Swift,Delhi,6,65650.0,Diesel,Manual,First,28.4,1248,74.0,5,1.578978704949392
Hyundai,Grand,Chennai,4,54000.0,Petrol,Manual,Third,18.9,1197,82.0,5,1.5260563034950494
Volkswagen,Vento,Kolkata,4,39000.0,Petrol,Manual,First,15.04,1598,103.2,5,1.6074359097634274
Renault,KWID,Kochi,2,16542.0,Petrol,Manual,First,25.17,799,53.3,5,1.4586150226995167
Hyundai,i10,Kolkata,9,32000.0,Petrol,Manual,First,20.36,1197,78.9,5,1.1216775615991057
Nissan,Other,Hyderabad,9,121812.0,Diesel,Automatic,First,13.29,1995,147.6,5,2.169053700369523
Maruti,Zen,Hyderabad,9,39300.0,Petrol,Manual,First,18.2,998,67.1,5,1.1786549963416462
Toyota,Innova,Mumbai,2,22000.0,Diesel,Manual,First,13.68,2393,147.8,8,2.8622008809294686
Ford,Figo,Bangalore,9,72000.0,Diesel,Manual,First,20.0,1399,68.0,5,1.3217558399823195
Mercedes-Benz,New,Delhi,4,58000.0,Petrol,Automatic,First,11.74,1796,186.0,5,3.3214324131932926
Mercedes-Benz,New,Pune,8,65000.0,Diesel,Manual,Second,15.8,2148,170.0,5,2.3978952727983707
Tata,Indica,Chennai,3,170000.0,Diesel,Manual,First,25.0,1396,69.0,5,1.252762968495368
Audi,A4,Jaipur,7,65664.0,Diesel,Automatic,First,16.55,1968,140.0,5,2.6741486494265287
Honda,City,Mumbai,12,63000.0,Petrol,Automatic,Second,16.4,1497,78.0,5,1.0473189942805592
Mercedes-Benz,Other,Coimbatore,0,15369.0,Diesel,Automatic,First,18.2,1950,194.0,5,3.6019589820832345
Maruti,Ertiga,Pune,3,63000.0,Diesel,Manual,First,24.52,1248,88.5,7,2.21375387928743
Hyundai,Creta,Mumbai,1,13000.0,Diesel,Manual,First,22.1,1396,88.7,5,2.4423470353692043
Other_Luxury,Other,Mumbai,11,73000.0,Petrol,Automatic,First,8.5,4806,500.0,5,2.740840023925201
Mahindra,XUV500,Mumbai,4,55729.0,Diesel,Manual,First,15.1,2179,140.0,7,2.365559892155434
Hyundai,i10,Kochi,7,45178.0,Petrol,Automatic,First,16.95,1197,78.9,5,1.4996230464268938
Nissan,Terrano,Kochi,4,56066.0,Diesel,Manual,First,19.64,1461,108.5,5,2.0693912058263346
Honda,Brio,Coimbatore,3,37300.0,Petrol,Automatic,Second,16.5,1198,86.8,5,2.0095554142156695
Audi,A6,Delhi,5,56000.0,Diesel,Automatic,Second,18.53,1968,187.74,5,3.417726683613366
Ford,Fiesta,Jaipur,11,111111.0,Diesel,Manual,First,17.8,1399,97.7,5,1.0986122886681096
Toyota,Innova,Chennai,13,170000.0,Petrol,Manual,Third,12.4,1998,132.0,8,1.7047480922384253
Toyota,Innova,Hyderabad,7,104000.0,Diesel,Manual,First,12.8,2494,102.0,7,2.5455312716044354
Hyundai,Santro,Hyderabad,14,87591.0,Petrol,Manual,First,18.2,1086,97.7,5,0.832909122935104
Maruti,Swift,Jaipur,7,95100.0,Diesel,Manual,First,22.9,1248,74.0,5,1.55814461804655
Tata,Zest,Pune,2,70000.0,Petrol,Manual,First,17.57,1193,88.7,5,1.7047480922384253
Honda,Amaze,Kochi,3,54944.0,Petrol,Manual,First,18.0,1198,86.7,5,1.7613002617433464
Ford,Figo,Hyderabad,7,70337.0,Diesel,Manual,First,20.0,1399,68.0,5,1.33500106673234
Maruti,Ritz,Jaipur,6,99638.0,Diesel,Manual,First,23.2,1248,73.94,5,1.4134230285081433
